Date,Open,High,Low,Close,Volume
18-Dec-17,177.5,174.75,176.5,175.84,-
15-Dec-17,170,178.25,170,176.5,310473
14-Dec-17,178.5,178.5,177,177.75,37115
13-Dec-17,180.75,181.5,176.5,177.75,537646
12-Dec-17,185,185,180,180.5,143390
11-Dec-17,180,184,179.75,181.25,202388
08-Dec-17,183,183.75,180,180.75,95029
07-Dec-17,180,181.5,175.25,181,139962
06-Dec-17,175,179.5,175,178,40429
05-Dec-17,174.25,177.75,174.25,177.75,89978
04-Dec-17,176,176,173.25,174.75,88889
01-Dec-17,175.75,176.5,170.5,174.25,137369
30-Nov-17,172.5,176.25,171.75,176.25,151185
29-Nov-17,172.5,174.25,172.5,173.75,83915
28-Nov-17,172.25,174.5,171.5,173.25,67713
27-Nov-17,175.5,175.5,171.25,171.5,106391
24-Nov-17,173.25,175.75,172.5,174,82417
23-Nov-17,173,173.25,165.5,172,65982
22-Nov-17,171,172.5,170,171.25,91207
21-Nov-17,171,171.5,169.25,170,41240
20-Nov-17,167.75,172,167.25,170,65031
17-Nov-17,167,167.25,165.5,166,128129
16-Nov-17,166,167.5,166,167,137032
15-Nov-17,167.5,168,165.75,167,87011
14-Nov-17,166,170,163,166.5,396579
13-Nov-17,168.25,168.25,163.25,163.5,108048
10-Nov-17,174.5,174.5,167.25,168,137468
09-Nov-17,170,172.75,168.5,171.25,99296
08-Nov-17,170.25,170.25,168.25,168.25,75022
07-Nov-17,168,171.5,168,168.5,36810
06-Nov-17,177,177,168,169.75,42458
03-Nov-17,168,173.25,168,170.75,64613
02-Nov-17,170,170.75,168.5,169.5,37675
01-Nov-17,172.25,173.75,170,170,56448
31-Oct-17,175,175,170.25,172.5,63775
30-Oct-17,172,176.75,169,175.25,196191
27-Oct-17,170,171,169.25,169.5,92413
26-Oct-17,171.25,171.5,170,171.25,23121
25-Oct-17,175.25,175.25,169.25,170.5,68854
24-Oct-17,169,174.5,169,170.5,110533
23-Oct-17,174.75,175,171.25,173.5,63365
20-Oct-17,173,176.25,171.5,176.25,70303
19-Oct-17,181,183.5,170,173.5,70169
18-Oct-17,176.75,176.75,170,172.5,76386
17-Oct-17,177.5,177.5,175,175.5,84900
16-Oct-17,177.25,177.5,175,176.5,89633
13-Oct-17,174.75,178.75,174.75,175,102041
12-Oct-17,176.5,178,172.5,176.5,46520
11-Oct-17,175,178,173.75,174.75,222555
10-Oct-17,185,185,176.5,177.75,100743
09-Oct-17,180.25,180.25,176,177.75,111214
06-Oct-17,177.75,183,177.25,178.5,595706
05-Oct-17,162,171.75,162,171.5,77516
04-Oct-17,176.5,177.5,162,170,318045
03-Oct-17,180.75,180.75,176,177,42260
02-Oct-17,184,184,178.5,179.75,82851
29-Sep-17,180,182,179.25,180,175269
28-Sep-17,180,183.75,180,180.5,85304
27-Sep-17,180,184,180,183.75,216865
26-Sep-17,182,182.25,179.5,181.25,56701
25-Sep-17,182.75,183.25,180.25,182,71162
22-Sep-17,181,181.25,178,180.5,50873
21-Sep-17,179.5,180,177.75,178.25,50740
20-Sep-17,179,180.5,176,179.5,72159
19-Sep-17,181,181,178.5,178.75,82581
18-Sep-17,178.75,180.5,177.75,179,204847
15-Sep-17,168,179.75,167.5,179,1148769
14-Sep-17,175,175,166,167.5,128646
13-Sep-17,172,175.5,169,169,105266
12-Sep-17,180,180,172.5,172.5,104235
11-Sep-17,174,179.75,174,174.25,36340
